DATA,INVASORA,TIPO DE FOLHA,QUANTIDADE,PESO VERDE (g),PESO SECO (g),COLETA DA AMOSTRA,PLANTAÇÃO,PASTO,Nº DE QUADROS,ÁREA DO QUADRO (m²),ÁREA TOTAL (m²),ANO,PRESSÃO (hPa),TEMPERATURA MÉDIA (°C),TEMPERATURA MÁXIMA (°C),TEMPERATURA MÍNIMA (°C),UMIDADE RELATIVA (%),VELOCIDADE DO VENTO (m/s),DIREÇÃO DO VENTO (°),PRECIPITAÇÃO (mm),control_index,PROFUNDIDADE (cm),pH (H20),H+Al (cmolc/dm3),Al (cmolc/dm3),Ca (cmolc/dm3),Mg (cmolc/dm3),K (mg/dm3),P (mg/dm3),M.O. (dag/kg),SB (cmolc/dm3),CTC (cmolc/dm3),V (%),Sat.Al (%),B (mg/dm3),Zn (mg/dm3),Cu (mg/dm3),Mn (mg/dm3),Fe (mg/dm3),Ca/Mg (cmolc/dm3),Ca/K (cmolc/mg),Mg/K (cmolc/mg),Ca+Mg/K (cmolc/mg)
2006-10-01,beldroega,2.0,75,131.25,52.5,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,0,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,beldroega,2.0,75,131.25,52.5,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,0,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,beldroega,2.0,75,131.25,52.5,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,0,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,capim braquiária,1.0,11,9.333,3.7332,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,1,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,capim braquiária,1.0,11,9.333,3.7332,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,1,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,capim braquiária,1.0,11,9.333,3.7332,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,1,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,capim carrapicho,1.0,10,50.5,20.2,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,2,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,capim carrapicho,1.0,10,50.5,20.2,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,2,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,capim carrapicho,1.0,10,50.5,20.2,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,2,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,capim marmelada,1.0,75,3304.675,1321.87,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,3,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
